II_1	11784246	11784803	.	1000	.	-1	2868.68000	-1	248	4.645116	4.645116	11784246	11784803	2910.63000	248	11784246	11784803	2868.68000	249
II_1	11569227	11572786	.	1000	.	-1	2567.24000	-1	1244	4.580604	4.611663	11569227	11572786	2716.14000	1243	11569752	11572778	2567.24000	720
IV	17277173	17281880	.	1000	.	-1	1933.20000	-1	1419	4.536067	4.584975	17277226	17281880	1939.61000	1365	17277173	17281860	1933.20000	1420
III_1	9634786	9637120	.	1000	.	-1	1669.73000	-1	2083	4.501013	4.562415	9634786	9637120	1669.73000	2078	9634798	9637086	1743.01000	2077
V_1	7929521	7931626	.	1000	.	-1	1524.54000	-1	296	4.471660	4.542683	7929521	7931626	1524.54000	304	7929521	7931621	1637.15000	289
V_1	7925471	7926866	.	1000	.	-1	1379.20000	-1	688	4.446169	4.525033	7925471	7926866	1383.20000	688	7925493	7926866	1379.20000	666
X_1	1376968	1377519	.	1000	.	-1	984.07800	-1	254	4.407561	4.506178	1376968	1377519	984.07800	255	1376988	1377508	1009.48000	233
IV	2754653	2756681	.	1000	.	-1	755.67000	-1	1058	4.368365	4.486364	2754653	2756670	775.63800	1052	2754710	2756681	755.67000	1007
III_1	10827825	10832330	.	1000	.	-1	641.76900	-1	256	4.353642	4.469449	10827825	10832258	684.16200	256	10827833	10832330	641.76900	248
X_1	2062256	2062914	.	1000	.	-1	621.66300	-1	121	4.339413	4.454547	2062256	2062909	621.77100	110	2062257	2062914	621.66300	131
IV	15059072	15059915	.	1000	.	-1	481.75700	-1	266	4.325711	4.441122	15059072	15059915	481.75700	267	15059077	15059908	525.50500	261
X_1	16946325	16948899	.	1000	.	-1	420.79400	-1	339	4.312528	4.428826	16946387	16948888	420.79400	281	16946325	16948899	460.50000	335
II_1	8479187	8481100	.	1000	.	-1	401.88100	-1	303	4.268152	4.414122	8479196	8481100	405.02300	382	8479187	8480608	401.88100	215
V_1	15340299	15341208	.	1000	.	-1	398.89900	-1	289	4.263269	4.390715	15340299	15341208	398.89900	289	15340358	15341163	400.35100	231
IV	8468394	8469398	.	1000	.	-1	391.19600	-1	567	4.252753	4.380682	8468394	8469385	395.84400	570	8468401	8469398	391.19600	557
V_1	7928484	7929300	.	1000	.	-1	377.91300	-1	611	4.263269	4.390715	7928493	7929300	377.91300	602	7928484	7929300	415.80200	612
V_1	15205155	15208509	.	1000	.	-1	371.51100	-1	2364	4.202273	4.341655	15205275	15208509	403.49000	2239	15205155	15208472	371.51100	2370
V_1	7927604	7928275	.	1000	.	-1	356.51500	-1	403	4.215974	4.359481	7927604	7928273	385.19100	405	7927608	7928275	356.51500	398
II_1	9651378	9651894	.	1000	.	-1	349.13500	-1	292	4.222518	4.369601	9651404	9651891	349.13500	265	9651378	9651894	388.15400	293
IV	15895832	15896154	.	1000	.	-1	340.95600	-1	222	4.212793	4.350392	15895855	15896153	349.18800	199	15895832	15896154	340.95600	222
III_1	3911656	3912441	.	1000	.	-1	339.44500	-1	447	4.199302	4.333706	3911658	3912387	367.58000	416	3911656	3912441	339.44500	477
IV	4758662	4761333	.	1000	.	-1	329.85500	-1	2216	4.191083	4.326099	4758672	4761182	367.07100	2209	4758662	4761333	329.85500	2214
II_1	12127252	12127676	.	1000	.	-1	317.10600	-1	205	4.168819	4.311018	12127252	12127676	319.54400	213	12127259	12127665	317.10600	191
III_1	427375	428962	.	1000	.	-1	303.75100	-1	791	4.176382	4.318396	427387	428962	303.75100	779	427375	428932	320.89400	792
IV	1094135	1094511	.	1000	.	-1	293.74000	-1	204	4.160759	4.303896	1094135	1094493	296.64000	203	1094137	1094511	293.74000	204
I_1	4186841	4188017	.	1000	.	-1	259.63600	-1	215	4.117533	4.287638	4186844	4188017	295.07200	226	4186841	4188009	259.63600	202
IV	13667875	13668658	.	1000	.	-1	256.90400	-1	259	4.129536	4.295721	13667876	13668658	256.90400	269	13667875	13668604	268.03600	248
I_1	5396669	5397238	.	1000	.	-1	256.84900	-1	268	4.115141	4.280139	5396710	5397238	256.90400	229	5396669	5397148	256.84900	267
